,Date,High,Low,Open,Close,Volume,Adj Close
37,2021-05-09,59519.35546875,54071.45703125,58250.87109375,55859.796875,71776546298,55859.796875
38,2021-05-10,56872.54296875,54608.65234375,55847.2421875,56704.57421875,61308396325,56704.57421875
39,2021-05-11,57939.36328125,49150.53515625,56714.53125,49150.53515625,75215403907,49150.53515625
40,2021-05-12,51330.84375,46980.01953125,49735.43359375,49716.19140625,96721152926,49716.19140625
41,2021-05-13,51438.1171875,48868.578125,49682.98046875,49880.53515625,55737497453,49880.53515625
42,2021-05-14,50639.6640625,46664.140625,49855.49609375,46760.1875,59161047474,46760.1875
43,2021-05-15,49720.04296875,43963.3515625,46716.63671875,46456.05859375,64047871555,46456.05859375
44,2021-05-16,46623.55859375,42207.2890625,46415.8984375,43537.51171875,74903638450,43537.51171875
45,2021-05-17,45812.45703125,42367.83203125,43488.05859375,42909.40234375,56187365084,42909.40234375
46,2021-05-18,43546.1171875,30681.49609375,42944.9765625,37002.44140625,126358098747,37002.44140625
47,2021-05-19,42462.984375,35050.6171875,36753.66796875,40782.73828125,88281943359,40782.73828125
48,2021-05-20,42172.171875,33616.453125,40596.94921875,37304.69140625,82051616861,37304.69140625
49,2021-05-21,38831.0546875,35383.68359375,37371.03125,37536.6328125,57377273240,37536.6328125
50,2021-05-22,38289.21875,31227.33984375,37531.44921875,34770.58203125,78469274361,34770.58203125
51,2021-05-23,39835.140625,34551.08203125,34700.36328125,38705.98046875,67359584098,38705.98046875
52,2021-05-24,39776.3515625,36581.4296875,38795.78125,38402.22265625,56211915803,38402.22265625
53,2021-05-25,40782.078125,37905.8359375,38392.625,39294.19921875,51346735160,39294.19921875
54,2021-05-26,40379.6171875,37247.90234375,39316.890625,38436.96875,43210968721,38436.96875
55,2021-05-27,38856.96875,34779.0390625,38507.08203125,35697.60546875,55200191952,35697.60546875
56,2021-05-28,37234.5,33693.9296875,35684.15625,34616.06640625,45231013335,34616.06640625
57,2021-05-29,36400.66796875,33520.73828125,34607.40625,35678.12890625,31646080921,35678.12890625
58,2021-05-30,37468.25,34241.9453125,35658.59375,37332.85546875,39009847639,37332.85546875
59,2021-05-31,37896.734375,35787.0859375,37293.79296875,36684.92578125,34639423297,36684.92578125
60,2021-06-01,38231.33984375,35966.30859375,36699.921875,37575.1796875,33070867190,37575.1796875
61,2021-06-02,39478.953125,37243.97265625,37599.41015625,39208.765625,35460750427,39208.765625
62,2021-06-03,39242.484375,35717.72265625,39242.484375,36894.40625,41831090187,36894.40625
63,2021-06-04,37917.71484375,34900.4140625,36880.15625,35551.95703125,35959473399,35551.95703125
64,2021-06-05,36436.421875,35304.578125,35538.609375,35862.37890625,28913440585,35862.37890625
65,2021-06-06,36790.5703125,33480.640625,35835.265625,33560.70703125,33683936663,33560.70703125
66,2021-06-07,34017.38671875,31114.443359375,33589.51953125,33472.6328125,49902050442,33472.6328125
67,2021-06-08,37537.37109375,32475.865234375,33416.9765625,37345.12109375,53972919008,37345.12109375
68,2021-06-09,38334.32421875,35847.59375,37389.515625,36702.59765625,43576032854,36702.59765625
69,2021-06-10,37608.6953125,36044.44921875,36697.03125,37334.3984375,38699736985,37334.3984375
70,2021-06-11,37408.92578125,34728.19140625,37340.14453125,35552.515625,37924228550,35552.515625
71,2021-06-12,39322.78125,34864.109375,35555.7890625,39097.859375,40669112838,39097.859375
72,2021-06-13,40978.36328125,38757.28515625,39016.96875,40218.4765625,43148914673,40218.4765625
73,2021-06-14,41295.26953125,39609.46875,40427.16796875,40406.26953125,46420149185,40406.26953125
74,2021-06-15,40516.77734375,38176.03515625,40168.69140625,38347.0625,39211635100,38347.0625
75,2021-06-16,39513.671875,37439.67578125,38341.421875,38053.50390625,37096670047,38053.50390625
76,2021-06-17,38187.26171875,35255.85546875,38099.4765625,35787.24609375,36200887275,35787.24609375
77,2021-06-18,36457.796875,34933.0625,35854.52734375,35615.87109375,31207279719,35615.87109375
78,2021-06-19,36059.484375,33432.07421875,35563.140625,35698.296875,36664034054,35698.296875
79,2021-06-20,35721.640625,31295.935546875,35641.14453125,31676.693359375,52809038594,31676.693359375
80,2021-06-21,33292.453125,28893.62109375,31622.376953125,32505.66015625,58964353058,32505.66015625
81,2021-06-22,34753.41015625,31772.6328125,32515.71484375,33723.02734375,46317108925,33723.02734375
82,2021-06-23,35228.8515625,32385.21484375,33682.80078125,34662.4375,33123368116,34662.4375
83,2021-06-24,35487.24609375,31350.884765625,34659.10546875,31637.779296875,40230904226,31637.779296875
84,2021-06-25,32637.587890625,30184.501953125,31594.6640625,32186.27734375,38585385521,32186.27734375
85,2021-06-26,34656.12890625,32071.7578125,32287.5234375,34649.64453125,35511640894,34649.64453125
86,2021-06-27,35219.890625,33902.07421875,34679.12109375,34434.3359375,33892523752,34434.3359375
87,2021-06-28,36542.109375,34252.484375,34475.55859375,35867.77734375,37901460044,35867.77734375
88,2021-06-29,36074.7578125,34086.15234375,35908.38671875,35040.8359375,34059036099,35040.8359375
89,2021-06-30,35035.984375,32883.78125,35035.984375,33572.1171875,37838957079,33572.1171875
90,2021-07-01,33939.58984375,32770.6796875,33549.6015625,33897.046875,38728974942,33897.046875
91,2021-07-03,34736.59765625,33415.51953125,33888.45703125,34736.59765625,25138464768,34736.59765625
